uid,perc_repeat_2,perc_repeat_7,perc_repeat_30,perc_repeat_inf
2787,0.15286624203821655,0.4140127388535032,0.5477707006369427,0.5668789808917197
2788,0.21153846153846154,0.34615384615384615,0.38461538461538464,0.40384615384615385
2789,0.12931034482758622,0.23706896551724138,0.31896551724137934,0.3318965517241379
2790,0.22727272727272727,0.4318181818181818,0.6212121212121212,0.696969696969697
2791,0.314359637774903,0.5161707632600259,0.6254851228978008,0.7522639068564037
2792,0.15015015015015015,0.2852852852852853,0.4039039039039039,0.46846846846846846
2793,0.16058394160583941,0.3686131386861314,0.5875912408759124,0.7116788321167884
2794,0.18701298701298702,0.35064935064935066,0.4857142857142857,0.5506493506493506
2795,0.20085470085470086,0.42735042735042733,0.5427350427350427,0.641025641025641
2797,0.059190031152647975,0.16822429906542055,0.3146417445482866,0.4112149532710281
2799,0.2731182795698925,0.546236559139785,0.7419354838709677,0.821505376344086
2800,0.21306818181818182,0.4289772727272727,0.6079545454545454,0.7045454545454546
2802,0.12,0.3333333333333333,0.41333333333333333,0.48
2803,0.27839643652561247,0.43875278396436523,0.5211581291759465,0.6124721603563474
2804,0.1973954763536669,0.5291295407813571,0.6675805346127485,0.7285812200137081
2805,0.30303030303030304,0.569023569023569,0.6801346801346801,0.8585858585858586
2806,0.33116883116883117,0.6038961038961039,0.6753246753246753,0.7532467532467533
2807,0.3963963963963964,0.6126126126126126,0.6576576576576577,0.7297297297297297
2809,0.2882882882882883,0.43243243243243246,0.44144144144144143,0.4504504504504504
2810,0.29551020408163264,0.4228571428571429,0.5387755102040817,0.8106122448979591
2812,0.23308270676691728,0.37593984962406013,0.42857142857142855,0.5263157894736843
2814,0.22624434389140272,0.4343891402714932,0.5610859728506787,0.5927601809954751
2815,0.13636363636363635,0.29545454545454547,0.29545454545454547,0.2954545454545454
2816,0.3462603878116344,0.631578947368421,0.7202216066481995,0.739612188365651
2817,0.47564469914040114,0.6888252148997135,0.7931232091690544,0.8446991404011461
2818,0.3675889328063241,0.5968379446640316,0.7193675889328063,0.8260869565217391
2820,0.14893617021276595,0.2978723404255319,0.3191489361702128,0.36170212765957444
2821,0.42197253433208487,0.6129837702871411,0.6941323345817728,0.7428214731585518
2823,0.07792207792207792,0.18831168831168832,0.2597402597402597,0.30519480519480524
2824,0.21678321678321677,0.34032634032634035,0.4428904428904429,0.4825174825174825
2825,0.38320209973753283,0.6115485564304461,0.6902887139107612,0.8083989501312336
2827,0.2664015904572565,0.47813121272365805,0.6053677932405567,0.757455268389662
2828,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.3076923076923077
2829,0.10416666666666667,0.25,0.4583333333333333,0.45833333333333337
2830,0.21370967741935484,0.4959677419354839,0.5806451612903226,0.6612903225806452
2831,0.5580985915492958,0.8248239436619719,0.9102112676056338,0.9551056338028169
2832,0.0392156862745098,0.1568627450980392,0.3333333333333333,0.43137254901960786
