uid,perc_repeat_7,gender,age_group,regions_us
198,0.4069952305246423,Female,18-44,NA
199,0.37124658780709735,NA,NA,NA
200,0.5976744186046512,Female,18-44,West
201,0.3259109311740891,Female,18-44,Midwest
202,0.34782608695652173,Female,18-44,Midwest
204,0.7135575942915392,Male,18-44,Midwest
205,0.35294117647058826,Female,18-44,NA
207,0.38571428571428573,Female,18-44,South
208,0.6104783599088838,Female,45+,NA
209,0.3516819571865443,Female,18-44,South
210,0.4406779661016949,Female,18-44,South
211,0.5056179775280899,Female,18-44,NA
212,0.13432835820895522,NA,NA,NA
213,0.2422145328719723,Female,18-44,NA
214,0.5122235157159488,Female,18-44,NA
216,0.605301914580265,Female,18-44,Northeast
218,0.48,Female,18-44,Midwest
219,0.2191780821917808,Female,18-44,NA
220,0.4148936170212766,Male,18-44,NA
222,0.3321678321678322,Female,18-44,NA
224,0.5225988700564972,Female,18-44,Northeast
227,0.23052959501557632,Female,45+,NA
228,0.5767634854771784,Female,18-44,NA
229,0.4882154882154882,NA,NA,NA
230,0.46078431372549017,Female,45+,Midwest
231,0.24723247232472326,Female,18-44,West
233,0.2669683257918552,Female,18-44,West
234,0.6403712296983759,Male,18-44,NA
235,0.8412162162162162,Female,45+,West
236,0.40273972602739727,Female,18-44,Midwest
238,0.18439716312056736,Female,45+,South
239,0.42857142857142855,Female,18-44,South
240,0.5727272727272728,Female,18-44,NA
241,0.43820224719101125,NA,NA,NA
242,0.3163265306122449,NA,NA,NA
243,0.4386206896551724,Female,45+,NA
245,0.34523809523809523,Female,18-44,NA
247,0.3951965065502183,Female,18-44,South
248,0.6108870967741935,Female,18-44,West
249,0.2471264367816092,Female,18-44,South
250,0.8415529905561385,Female,45+,West
251,0.4429223744292237,Female,18-44,NA
252,0.5068027210884354,Male,18-44,West
253,0.795774647887324,Female,18-44,NA
254,0.7678321678321678,Female,18-44,South
255,0.40604026845637586,Female,45+,Midwest
256,0.3880597014925373,Male,45+,NA
257,0.242914979757085,Female,18-44,South
258,0.6297872340425532,Female,18-44,NA
259,0.24342105263157895,Male,18-44,South
261,0.16101694915254236,Female,18-44,South
262,0.1504424778761062,Female,18-44,South
263,0.6970149253731344,Female,18-44,Midwest
264,0.5096774193548387,NA,NA,NA
266,0.3745019920318725,Female,18-44,Midwest
267,0.22988505747126436,Female,18-44,Northeast
270,0.48760330578512395,Female,18-44,South
271,0.7017318794098781,Female,45+,Midwest
273,0.2978723404255319,Female,18-44,West
274,0.41767068273092367,NA,NA,NA
276,0.5408163265306123,Male,18-44,Midwest
277,0.4725274725274725,Female,18-44,NA
278,0.40540540540540543,Male,18-44,South
279,0.48,Female,18-44,NA
281,0.6643835616438356,Female,45+,NA
282,0.5075757575757576,Female,18-44,Midwest
283,0.39325842696629215,Male,45+,NA
284,0.5245901639344263,Female,18-44,NA
285,0.4040920716112532,Female,18-44,South
287,0.5292397660818714,Female,18-44,NA
288,0.3958333333333333,Female,18-44,NA
