uid,perc_0,perc_1,perc_2,perc_3
0,,,,0.6089494163424124
1,0.4090909090909091,0.3037974683544304,0.5256410256410257,0.6907894736842105
3,0.2916666666666667,0.13157894736842105,0.07142857142857142,0.3181818181818182
4,0.9581881533101045,0.7352941176470589,0.22413793103448276,0.6859504132231405
5,0.6666666666666666,0.3592592592592593,0.18791946308724833,0.21875
6,0.2631578947368421,0.16,0.15384615384615385,0.0
7,0.4838709677419355,0.4793388429752066,0.32,0.4
9,,,,0.46680497925311204
11,0.3,0.4461538461538462,0.264,0.47126436781609193
12,,,,0.5048025613660619
14,0.32,0.2692307692307692,0.4358974358974359,0.1
15,0.75,0.1956521739130435,0.3088235294117647,0.391304347826087
16,0.043478260869565216,0.0,0.0,0.0
18,0.5,0.25,0.09090909090909091,0.5238095238095238
19,0.3,0.0,0.0,0.3333333333333333
22,0.0,0.2857142857142857,0.0,0.0
23,0.35714285714285715,0.17647058823529413,0.15,0.0
24,0.4647887323943662,0.21505376344086022,0.09803921568627451,0.2
26,0.15384615384615385,0.06666666666666667,0.0,0.3157894736842105
28,0.15789473684210525,0.16129032258064516,0.0851063829787234,0.2222222222222222
29,0.625,0.4918032786885246,0.2727272727272727,0.2222222222222222
30,,,,0.5352439969016266
31,0.5569620253164557,0.2898550724637681,0.2191780821917808,0.3484848484848485
32,0.38461538461538464,0.0,0.0,0.0
33,0.5454545454545454,0.23255813953488372,0.3404255319148936,0.5660377358490566
34,0.35294117647058826,0.14285714285714285,0.0,0.1111111111111111
35,0.6241457858769932,0.43722943722943725,0.43820224719101125,0.6530612244897959
36,0.6304347826086957,0.14814814814814814,0.17647058823529413,0.09090909090909091
38,0.893048128342246,0.21875,0.6578947368421053,0.2222222222222222
39,0.8770949720670391,0.47107438016528924,0.15,0.4
40,0.8443708609271523,0.4380952380952381,0.5154185022026432,0.49411764705882355
41,0.3333333333333333,0.15,0.0,0.1
42,0.9330143540669856,0.5562130177514792,0.6216216216216216,0.8073701842546064
43,0.5180722891566265,0.20512820512820512,0.07407407407407407,0.05555555555555555
44,0.30434782608695654,0.0,0.0,0.46153846153846156
45,0.8914027149321267,0.528169014084507,0.5753424657534246,0.0
46,0.7276264591439688,0.3217391304347826,0.0891089108910891,0.6064400715563506
47,,,,0.48444444444444446
48,0.0,0.20833333333333334,0.0,0.0
49,0.7547169811320755,0.4962962962962963,0.5621301775147929,0.45
51,0.5714285714285714,0.06818181818181818,0.07692307692307693,0.37209302325581395
52,0.4868421052631579,0.16037735849056603,0.07,0.47115384615384615
55,,,,0.3359840954274354
56,0.575,0.16666666666666666,0.14634146341463414,0.13043478260869565
58,0.7592592592592593,0.5050505050505051,0.5972222222222222,0.7100371747211895
61,0.391304347826087,0.14814814814814814,0.09803921568627451,0.2558139534883721
62,,,,0.2411467116357504
64,0.3076923076923077,0.35714285714285715,0.1111111111111111,0.0
65,,,,0.7244258872651357
66,0.4444444444444444,0.1125,0.07446808510638298,0.2833333333333333
67,0.927170868347339,0.7573099415204678,0.7338129496402878,0.7125603864734299
69,0.40625,0.12,0.1111111111111111,0.07142857142857142
70,0.24719101123595505,0.11428571428571428,0.2857142857142857,0.12121212121212122
71,0.8725212464589235,0.425531914893617,0.35664335664335667,0.683291770573566
72,0.0,0.125,0.0,0.0
73,0.0,0.08571428571428572,0.1,0.0
74,0.40476190476190477,0.22413793103448276,0.5227272727272727,0.6666666666666666
75,0.803921568627451,0.6444444444444445,0.29411764705882354,0.6829268292682927
76,0.36065573770491804,0.0,0.0,0.09090909090909091
77,0.29069767441860467,0.13513513513513514,0.19047619047619047,
78,0.16666666666666666,0.041666666666666664,0.0,0.2711864406779661
79,0.7556818181818182,0.3795620437956204,0.47183098591549294,0.4
80,0.1111111111111111,0.14285714285714285,0.19402985074626866,0.34782608695652173
81,0.23255813953488372,0.1282051282051282,0.12195121951219512,0.18518518518518517
82,,0.08333333333333333,0.057692307692307696,0.3988212180746562
83,0.3,0.0,0.0,0.35714285714285715
84,0.17647058823529413,0.0,0.0,0.0
86,0.19047619047619047,0.2916666666666667,0.14285714285714285,0.32786885245901637
87,0.25,0.32323232323232326,0.33,0.21794871794871795
88,0.45977011494252873,0.1574074074074074,0.19827586206896552,0.23728813559322035
89,0.23076923076923078,0.35294117647058826,0.3783783783783784,0.3888888888888889
92,0.5373134328358209,0.2605633802816901,0.22023809523809523,0.44036697247706424
93,0.37037037037037035,0.0,0.125,0.48484848484848486
94,0.7568493150684932,0.6222222222222222,0.6137339055793991,0.7965517241379311
96,0.6831683168316832,0.33098591549295775,0.30714285714285716,0.36666666666666664
97,0.7,0.14814814814814814,0.35714285714285715,0.125
98,0.3404255319148936,0.44370860927152317,0.16363636363636364,0.0
99,0.4666666666666667,0.12,0.0625,0.16666666666666666
100,0.6326530612244898,0.27722772277227725,0.375,0.40186915887850466
101,0.9146919431279621,0.45217391304347826,0.43252595155709345,0.4322916666666667
102,0.3877551020408163,0.27631578947368424,0.12195121951219512,0.3333333333333333
103,0.125,0.0,0.038461538461538464,0.0
104,0.8732394366197183,0.07142857142857142,0.09090909090909091,0.5365853658536586
106,0.0,0.0,,0.0
108,0.38095238095238093,0.2413793103448276,0.023255813953488372,0.313953488372093
109,0.2,0.0,0.0,0.0
110,0.6820276497695853,0.33783783783783783,0.2413793103448276,0.20754716981132076
111,0.6529680365296804,0.3076923076923077,0.1572052401746725,0.3904109589041096
