uid,Model,nDCG@5,Gender,US Regions,Age Groups
151,Mixture Decay,0.2348083540290929,Female,West,18-44
152,Mixture Decay,0.5582701299396221,,,
153,Mixture Decay,0.4145937176835245,Female,Midwest,18-44
154,Mixture Decay,0.3263298171106885,Female,Northeast,18-44
155,Mixture Decay,0.5070535901693461,Female,Northeast,18-44
157,Mixture Decay,0.27436636189108776,Female,,18-44
158,Mixture Decay,0.6912829983106806,Female,,18-44
159,Mixture Decay,0.2390679818259673,Female,Northeast,18-44
160,Mixture Decay,0.2427648207801261,Female,,18-44
162,Mixture Decay,0.644020057458668,Female,Midwest,18-44
163,Mixture Decay,0.44744084725713135,Female,Northeast,18-44
164,Mixture Decay,0.904109784434918,Female,Northeast,18-44
165,Mixture Decay,0.20794329476348425,Female,Midwest,18-44
166,Mixture Decay,0.4787867878687998,,,
167,Mixture Decay,0.440361600063046,Female,West,18-44
168,Mixture Decay,0.644040823057595,Female,South,18-44
169,Mixture Decay,0.28933789650339736,Female,Northeast,18-44
170,Mixture Decay,0.17663751537572742,,,
171,Mixture Decay,0.2595504609742197,Female,South,18-44
172,Mixture Decay,0.7482272602053271,Female,Midwest,18-44
173,Mixture Decay,0.7497269275198432,Female,West,18-44
175,Mixture Decay,0.18116236576247152,Female,South,18-44
176,Mixture Decay,0.18724438711624816,Female,South,18-44
178,Mixture Decay,0.12190040271769564,Female,West,18-44
180,Mixture Decay,0.3202013404548419,Female,West,18-44
182,Mixture Decay,0.6523363619996919,Female,South,18-44
185,Mixture Decay,0.46529015305032106,Female,South,18-44
186,Mixture Decay,0.9060434546953496,Female,Northeast,18-44
189,Mixture Decay,0.645310354146139,Female,Midwest,45+
190,Mixture Decay,0.36027845212230386,Female,Northeast,18-44
192,Mixture Decay,0.6342264593620538,Female,West,45+
193,Mixture Decay,0.37568186495408856,Female,South,18-44
194,Mixture Decay,0.4939248470888394,,,
195,Mixture Decay,0.16650135828639895,Female,Midwest,18-44
196,Mixture Decay,0.4149583026879384,Female,South,18-44
198,Mixture Decay,0.3195405573792714,Female,,18-44
199,Mixture Decay,0.23068286448665945,,,
200,Mixture Decay,0.4132527486955121,Female,West,18-44
201,Mixture Decay,0.2671959096149082,Female,Midwest,18-44
202,Mixture Decay,0.6379657817481951,Female,Midwest,18-44
204,Mixture Decay,0.9017216287400672,Male,Midwest,18-44
205,Mixture Decay,0.7957607475663049,Female,,18-44
207,Mixture Decay,0.3967229165089968,Female,South,18-44
208,Mixture Decay,0.6499483801380828,Female,,45+
209,Mixture Decay,0.4753852052470289,Female,South,18-44
210,Mixture Decay,0.4812269793247436,Female,South,18-44
211,Mixture Decay,0.4340912421322929,Female,,18-44
212,Mixture Decay,0.2390271936535591,,,
213,Mixture Decay,0.17417886877641944,Female,,18-44
214,Mixture Decay,0.5336164218525319,Female,,18-44
216,Mixture Decay,0.6081331679957277,Female,Northeast,18-44
218,Mixture Decay,0.5888866930590448,Female,Midwest,18-44
219,Mixture Decay,0.2310078949113251,Female,,18-44
220,Mixture Decay,0.587680671726125,Male,,18-44
222,Mixture Decay,0.42692689435269865,Female,,18-44
224,Mixture Decay,0.6011717047107361,Female,Northeast,18-44
227,Mixture Decay,0.1812571965502871,Female,,45+
228,Mixture Decay,0.7297746128446824,Female,,18-44
229,Mixture Decay,0.5039806244681689,,,
230,Mixture Decay,0.4766166920997125,Female,Midwest,45+
231,Mixture Decay,0.5483996742053833,Female,West,18-44
233,Mixture Decay,0.13128881366053427,Female,West,18-44
234,Mixture Decay,0.6096316660349976,Male,,18-44
235,Mixture Decay,0.742751322919231,Female,West,45+
236,Mixture Decay,0.4617384934678218,Female,Midwest,18-44
238,Mixture Decay,0.4576095683057874,Female,South,45+
239,Mixture Decay,0.3010430325399858,Female,South,18-44
240,Mixture Decay,0.34185384791932794,Female,,18-44
241,Mixture Decay,0.5032035469296688,,,
242,Mixture Decay,0.20788384062070467,,,
243,Mixture Decay,0.7159292847686568,Female,,45+
245,Mixture Decay,0.38026199973244457,Female,,18-44
247,Mixture Decay,0.3920199299563756,Female,South,18-44
248,Mixture Decay,0.5703714249629748,Female,West,18-44
