cnt
32
9
577
7
13
11
36
39
32
10
54
34
21
8
15
61
190
7
11
12
24
22
18
21
8
47
13
15
7
40
45
45
20
280
622
28
8
15
8
36
7
175
57
66
31
7
124
179
12
102
9
12
7
15
10
23
27
9
6
47
29
54
83
12
69
19
331
111
72
20
10
74
15
38
31
14
39
137
11
14
9
7
9
25
9
119
21
14
10
7
9
62
15
8
41
47
7
22
76
13
66
285
30
41
12
8
18
204
10
21
15
6
528
6
38
22
69
139
137
8
38
7
20
11
16
28
87
43
7
91
8
34
86
18
48
13
81
5
8
15
10
5
35
15
8
9
8
11
7
17
39
10
369
7
147
21
14
12
18
22
12
18
44
19
13
7
5
6
8
11
21
74
7
12
68
7
10
5
6
28
9
28
7
19
8
52
101
6
12
9
14
174
8
69
29
90
390
19
16
19
9
5
32
77
8
10
16
12
7
9
30
11
16
5
7
6
7
8
113
38
43
20
9
41
16
34
59
6
68
188
12
22
35
10
132
8
46
26
26
80
7
7
6
25
6
14
5
6
6
43
18
15
79
27
8
7
27
18
8
24
23
13
19
10
38
12
13
22
19
44
15
21
71
26
12
30
15
23
11
7
33
29
17
160
91
35
18
28
23
6
137
12
8
12
22
64
123
23
14
215
43
35
261
22
51
133
291
36
222
37
99
104
59
21
22
26
8
28
7
12
9
37
10
35
8
8
97
56
30
9
53
33
24
27
45
13
19
26
48
17
12
8
7
13
15
9
7
19
15
15
20
17
15
15
22
66
13
7
25
8
14
19
15
6
16
22
10
12
14
11
25
37
20
11
11
18
77
8
11
14
13
11
7
8
15
18
202
12
5
50
8
13
28
10
7
30
5
14
15
11
24
21
10
23
5
5
5
10
11
15
14
15
18
8
79
8
35
17
13
76
68
61
13
11
102
221
33
157
8
146
91
15
22
12
14
7
5
12
8
14
7
5
12
6
40
25
243
11
6
28
24
148
275
54
31
25
171
11
8
14
7
46
28
7
55
11
9
8
248
13
36
11
11
8
13
34
6
6
7
17
17
10
9
5
18
5
9
11
16
14
6
7
54
27
10
6
13
32
20
14
21
20
9
16
16
8
14
14
17
20
15
15
7
22
112
56
9
8
6
9
8
18
9
14
12
16
19
13
7
42
33
57
53
14
12
22
29
50
19
88
48
113
35
27
32
9
12
8
20
102
13
15
10
8
25
11
18
168
5
79
8
11
54
16
13
18
27
76
26
26
34
5
14
35
26
19
92
11
15
6
29
9
28
28
50
139
145
50
20
13
33
10
61
14
24
147
7
102
14
37
78
32
92
26
24
22
27
43
8
32
63
20
24
20
31
17
37
25
27
34
28
12
63
14
107
17
34
16
18
6
14
9
13
100
26
36
32
21
35
46
53
16
44
55
12
18
89
49
28
69
17
102
106
24
42
14
45
90
95
18
7
103
42
5
35
50
63
16
19
72
11
23
8
15
19
7
25
9
173
31
14
41
12
16
17
7
25
36
14
33
27
13
72
38
